"No.","Time","Source","Destination","Protocol","Length","Info"
"22376","26.104335000","172.19.34.152","202.203.85.88","DNS","74","Standard query 0xd6e2 A www.douban.com"
"22391","26.148653800","172.19.34.152","202.203.85.89","DNS","74","Standard query 0xd6e2 A www.douban.com"
"22392","26.153198100","202.203.85.88","172.19.34.152","DNS","161","Standard query response 0xd6e2 A www.douban.com CNAME forward.douban.com CNAME tc.forward.douban.com A 140.143.177.206 A 81.70.124.99 A 120.53.130.158"
"22399","26.196220000","202.203.85.89","172.19.34.152","DNS","161","Standard query response 0xd6e2 A www.douban.com CNAME forward.douban.com CNAME tc.forward.douban.com A 140.143.177.206 A 81.70.124.99 A 120.53.130.158"
"25043","29.598058200","172.19.34.152","202.203.85.88","DNS","81","Standard query 0x53af HTTPS config.edge.skype.com"
"25044","29.598370700","172.19.34.152","202.203.85.88","DNS","81","Standard query 0xc6c4 A config.edge.skype.com"
"25062","29.650270100","202.203.85.88","172.19.34.152","DNS","396","Standard query response 0x53af HTTPS config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME mira.config.skype.com CNAME svc.ha-teams.office.com CNAME teams-mrc-ww-acdcatm.trafficmanager.net CNAME teams-mrc-ww-perf.tm-4.office.com SOA ns1-34.azure-dns.com"
"25063","29.650270100","202.203.85.88","172.19.34.152","DNS","435","Standard query response 0xc6c4 A config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME mira.config.skype.com CNAME svc.ha-teams.office.com CNAME teams-mrc-ww-acdcatm.trafficmanager.net CNAME teams-mrc-ww-perf.tm-4.office.com A 52.123.224.160 A 52.123.224.194 A 52.123.224.193 A 52.123.224.164 A 52.123.224.192 A 52.123.224.195 A 52.123.224.161 A 52.123.224.162"
"25201","30.204943300","172.19.34.152","202.203.85.88","DNS","83","Standard query 0xec0a A rumt-zh.com"
"25203","30.205138600","172.19.34.152","202.203.85.88","DNS","83","Standard query 0xe37b HTTPS rumt-zh.com"
"25217","30.256697800","202.203.85.88","172.19.34.152","DNS","117","Standard query response 0xec0a A rumt-zh.com A 113.240.76.236 A 183.47.111.115"
"25218","30.256697800","202.203.85.88","172.19.34.152","DNS","145","Standard query response 0xe37b HTTPS rumt-zh.com SOA ns-tel1.qq.com"
"26061","33.071605700","172.19.34.152","202.203.85.88","DNS","83","Standard query 0x0ba1 A www.msftconnecttest.com"
"26084","33.103132900","172.19.34.152","202.203.85.89","DNS","83","Standard query 0x0ba1 A www.msftconnecttest.com"
"26108","33.124433900","202.203.85.88","172.19.34.152","DNS","233","Standard query response 0x0ba1 A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 23.56.109.207 A 23.56.109.201"
"26110","33.153727300","202.203.85.89","172.19.34.152","DNS","233","Standard query response 0x0ba1 A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 23.56.109.207 A 23.56.109.201"
